"Refs","Value","Footprint","Qty","DNP"
"BT1","3V","Battery:BatteryHolder_Keystone_1058_1x2032","1",""
"D1","red","LED_THT:LED_D5.0mm","1",""
"R1","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
